"Регион РФ(область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Плановое время начала отключения электроснабжения,Плановое время начала отключения электроснабжения Время,Плановое время восстановления отключения электроснабжения,Плановое время восстановления отключения электроснабжения Время,Филиал,РЭС,Комментарий,Id здания,Координаты
Санкт-Петербург,Пушкинский район,г. Павловск,"ул. Луначарского д.12, 4,",21-09-2023,09:00,21-09-2023,21:00,Южные электрические сети,Пушкинский РЭС,,110302.0,"[59.681222948,30.460484706]"
Ленинградская область,Гатчинский район ,"Антропшино,  г. Коммунар,  д. Покровское,  Пудомягское сп.,  ,  КП ""Русская усадьба""","Усадьба,  Парковая д.3,  ",21-09-2023,00:00,21-09-2023,07:00,Южные электрические сети,Пушкинский РЭС,,4791.0,"[59.890158476,30.337304913]"
Санкт-Петербург,Колпинский район,п. Усть-Славянка,Советский проспект д. 39 ,20-09-2023,13:00,20-09-2023,17:00,Южные электрические сети,Колпинский РЭС,,125592.0,"[60.067745755,29.974647109]"
Санкт-Петербург,Колпинский район,п. Усть-Славянка,ул. Гудиловская д. 6 ,20-09-2023,13:00,20-09-2023,17:00,Южные электрические сети,Колпинский РЭС,,224707.0,"[60.220719677,29.753231911]"
Санкт-Петербург,Петроградский район,Санкт-Петербург,"Петроградская наб.,  д. 2",20-09-2023,12:00,20-09-2023,18:00,Кабельная сеть,Островной РЭС,Перевод нагрузки на Т-2,86576.0,"[59.955837928,30.335591332]"
Санкт-Петербург,Петроградский район,Санкт-Петербург,"ул. Куйбышева,  д. 23 к.2",20-09-2023,12:00,20-09-2023,18:00,Кабельная сеть,Островной РЭС,Перевод нагрузки на Т-2,104620.0,"[59.95632516,30.331785132]"
Санкт-Петербург,Невский район,г. Санкт-Петербург,"пр. Елизарова,  д. 16,  ",20-09-2023,11:00,20-09-2023,15:00,Кабельная сеть,Невский РЭС,кратковременно на 1-1.5 часа,51867.0,"[59.895133633,30.422235824]"
Санкт-Петербург,Пушкинский район,тер. Пулковское,Пулковское ш. д.103 ,20-09-2023,10:00,20-09-2023,17:20,Южные электрические сети,Пушкинский РЭС,,113348.0,"[59.753306729,30.311305088]"
Санкт-Петербург,Курортный район,п.Ушково,"Вокзальная ул,  д.4,    ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,69045.0,"[59.780140032,30.130261813]"
Санкт-Петербург,Курортный район,п.Ушково,"Вокзальная ул,  д.6,    ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,42975.0,"[59.780347475,30.130523619]"
Санкт-Петербург,Курортный район,п.Ушково,"Вокзальная ул,  д.6,  ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,42975.0,"[59.780347475,30.130523619]"
Санкт-Петербург,Курортный район,п.Ушково,"Вокзальная ул,  д.8,    ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,109602.0,"[59.780512153,30.129921976]"
Санкт-Петербург,Курортный район,п.Ушково,"Вокзальная ул,  д.9,    ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,45273.0,"[60.20656022,29.701538569]"
Санкт-Петербург,Курортный район,п.Ушково,"Вокзальная ул,  д.10,    ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,88210.0,"[60.215482374,29.622756544]"
Санкт-Петербург,Курортный район,п.Ушково,"Сосновая ул,  д.6,   ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,89903.0,"[60.109643142,29.953841305]"
Санкт-Петербург,Курортный район,п.Ушково,"Детская ул,  д.41,   ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,131438.0,"[60.217566508,29.627985473]"
Санкт-Петербург,Курортный район,п.Ушково,"Почтовый пер,  д.8,   ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,18601.0,"[60.216938504,29.631044147]"
Санкт-Петербург,Курортный район,п.Ушково,"Сосновая ул,  д.6,   ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП,89903.0,"[60.109643142,29.953841305]"
