"Регион РФ(область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Филиал,РЭС,Комментарий,Id здания,Координаты,Время начала отключения,Время восстановления отключения,Код района,Код РЭС,Период отключения(в часах)
Ленинградская область,Тихвинский район,"д. Засыпье,  д. Вяльгино",,Тихвинские ЭС,Тихвинский РЭС,,,,2023-09-21 09:00:00,2023-09-21 17:00:00,Тихв,Тихв,8
Ленинградская область,Волосовский район,"Стойгино, Смедово, Черенковицы",население ,Гатчинские ЭС,Ломоносовский РЭС,плановые работы на  ВЛ 10кВ ,,,2023-09-21 09:00:00,2023-09-21 17:00:00,Воло,Ломо,8
Ленинградская область,Киришский район,"Еврейское болото, СТ Бережки,  АЗС-217 ""Киришиавтосервис""",,Тихвинские ЭС,Тихвинский РЭС,,,,2023-09-21 09:00:00,2023-09-21 17:00:00,Кири,Тихв,8
Ленинградская область,Волосовский район,п. Молосковицы ,,Кингисеппские ЭС,Кингисеппский РЭС,,,,2023-09-21 09:00:00,2023-09-21 17:00:00,Воло,Кинг,8
Ленинградская область,Кингисеппский район,Горки,,Кингисеппские ЭС,Кингисеппский РЭС,,,,2023-09-21 09:00:00,2023-09-21 17:00:00,Кинг,Кинг,8
Ленинградская область,Кингисеппский район,Кленно,,Кингисеппские ЭС,Кингисеппский РЭС,,,,2023-09-21 09:00:00,2023-09-21 17:00:00,Кинг,Кинг,8
Ленинградская область,Кингисеппский район,Килли,,Кингисеппские ЭС,Кингисеппский РЭС,,,,2023-09-21 09:00:00,2023-09-21 17:00:00,Кинг,Кинг,8
Ленинградская область,Лужский район,"Большая Дивенка,  Тозырево",,Кингисеппские ЭС,Лужский РЭС,,,,2023-09-21 09:00:00,2023-09-21 19:00:00,Лужс,Лужс,10
Ленинградская область,Лужский район,Володарское,Люблинская,Кингисеппские ЭС,Лужский РЭС,,,,2023-09-21 09:00:00,2023-09-22 17:00:00,Лужс,Лужс,8
Ленинградская область,Волосовский район,"д. Голубовицы,  д. Шелково",,Гатчинские ЭС,Ломоносовский РЭС,Плановые работы,,,2023-09-21 09:00:00,2023-09-21 17:00:00,Воло,Ломо,8
